# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.358
metadata : {}


# id : NWRW1800000040.358.1.1
국토·환경장관 “4대강 보 안전 문제 없다” 청와대 지시로 이례적 합동 반박회견 의혹

국토·환경장관	국토/NNG+·/SP+환경/NNG+장관/NNG
“4대강	“/SS+4/SN+대/NNG+강/NNG
보	보/NNG
안전	안전/NNG
문제	문제/NNG
없다”	없/VA+다/EF+”/SS
청와대	청와대/NNP
지시로	지시/NNG+로/JKB
이례적	이례/NNG+적/XSN
합동	합동/NNG
반박회견	반박/NNG+회견/NNG
의혹	의혹/NNG


# id : NWRW1800000040.358.2.1
환경부, 감사원 지적 수용하려다

환경부,	환경부/NNG+,/SP
감사원	감사원/NNG
지적	지적/NNG
수용하려다	수용/NNG+하/XSV+려다/EC


# id : NWRW1800000040.358.3.1
청와대 질책 받은 것으로 알려져

청와대	청와대/NNP
질책	질책/NNG
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EF


# id : NWRW1800000040.358.4.1
정부가 18일 감사원의 4대강 사업 감사 결과에 대해 정면으로 반박하고 나섰다.

정부가	정부/NNG+가/JKS
18일	18/SN+일/NNB
감사원의	감사원/NNG+의/JKG
4대강	4/SN+대/NNG+강/NNG
사업	사업/NNG
감사	감사/NNG
결과에	결과/NNG+에/JKB
대해	대하/VV+아/EC
정면으로	정면/NNG+으로/JKB
반박하고	반박/NNG+하/XSV+고/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.358.4.2
이명박 정부 말기에 청와대·정부와 감사원이 정면충돌하면서 4대강 사업을 둘러싼 논란은 더욱 확대될 것으로 보인다.

이명박	이명박/NNP
정부	정부/NNG
말기에	말기/NNG+에/JKB
청와대·정부와	청와대/NNP+·/SP+정부/NNG+와/JC
감사원이	감사원/NNG+이/JKS
정면충돌하면서	정면충돌/NNG+하/XSV+면서/EC
4대강	4/SN+대/NNG+강/NNG
사업을	사업/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
논란은	논란/NNG+은/JX
더욱	더욱/MAG
확대될	확대/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.358.5.1
권도엽 국토해양부 장관과 유영숙 환경부 장관은 세종로 정부중앙청사에서 합동 기자회견을 열어 “4대강 사업의 핵심시설인 보는 안정과 기능에 문제가 없다”고 말했다.

권도엽	권도엽/NNP
국토해양부	국토/NNG+해양부/NNG
장관과	장관/NNG+과/JC
유영숙	유영숙/NNP
환경부	환경부/NNG
장관은	장관/NNG+은/JX
세종로	세종로/NNP
정부중앙청사에서	정부중앙청사/NNP+에서/JKB
합동	합동/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“4대강	“/SS+4/SN+대/NNG+강/NNG
사업의	사업/NNG+의/JKG
핵심시설인	핵심/NNG+시설/NNG+이/VCP+ㄴ/ETM
보는	보/NNG+는/JX
안정과	안정/NNG+과/JC
기능에	기능/NNG+에/JKB
문제가	문제/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.358.5.2
감사원 지적을 받은 행정부처의 장관 2명이 함께 반박 기자회견을 여는 것은 유례가 없는 일이다.

감사원	감사원/NNG
지적을	지적/NNG+을/JKO
받은	받/VV+은/ETM
행정부처의	행정/NNG+부처/NNG+의/JKG
장관	장관/NNG
2명이	2/SN+명/NNB+이/JKS
함께	함께/MAG
반박	반박/NNG
기자회견을	기자/NNG+회견/NNG+을/JKO
여는	열/VV+는/ETM
것은	것/NNB+은/JX
유례가	유례/NNG+가/JKS
없는	없/VA+는/ETM
일이다.	일/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.358.6.1
권 장관은 “4대강 사업은 현 정부 최대의 국책사업인 만큼 철저한 관리와 점검을 했다.

권	권/NNP
장관은	장관/NNG+은/JX
“4대강	“/SS+4/SN+대/NNG+강/NNG
사업은	사업/NNG+은/JX
현	현/MMD
정부	정부/NNG
최대의	최대/NNG+의/JKG
국책사업인	국책/NNG+사업/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
철저한	철저/NNG+하/XSA+ㄴ/ETM
관리와	관리/NNG+와/JC
점검을	점검/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.358.6.2
그 결과 지난해 가뭄과 4차례의 태풍에도 피해를 크게 줄이는 등 큰 효과를 거뒀다”고 말했다.

그	그/MMD
결과	결과/NNG
지난해	지난해/NNG
가뭄과	가뭄/NNG+과/JC
4차례의	4/SN+차례/NNG+의/JKG
태풍에도	태풍/NNG+에/JKB+도/JX
피해를	피해/NNG+를/JKO
크게	크/VA+게/EC
줄이는	줄이/VV+는/ETM
등	등/NNB
큰	크/VA+ㄴ/ETM
효과를	효과/NNG+를/JKO
거뒀다”고	거두/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.358.6.3
권 장관은 구체적으로 △보 본체는 강바닥 암반에 콘크리트를 타설했거나 수천개의 말뚝을 박아 올렸으며 △바닥 보호공은 수시로 보강 작업을 벌여왔고 △보 균열과 누수 문제도 보강을 다 마쳤고 △준설량도 강바닥이 안정화되면 대폭 감소할 것이라고 설명했다.

권	권/NNP
장관은	장관/NNG+은/JX
구체적으로	구체/NNG+적/XSN+으로/JKB
△보	△/SW+보/NNG
본체는	본체/NNG+는/JX
강바닥	강바닥/NNG
암반에	암반/NNG+에/JKB
콘크리트를	콘크리트/NNG+를/JKO
타설했거나	타설/NNG+하/XSV+았/EP+거나/EC
수천개의	수천/NR+개/NNB+의/JKG
말뚝을	말뚝/NNG+을/JKO
박아	박/VV+아/EC
올렸으며	올리/VV+었/EP+으며/EC
△바닥	△/SW+바닥/NNG
보호공은	보호공/NNG+은/JX
수시로	수시로/MAG
보강	보강/NNG
작업을	작업/NNG+을/JKO
벌여왔고	벌이/VV+어/EC+오/VX+았/EP+고/EC
균열과	균열/NNG+과/JC
누수	누수/NNG
문제도	문제/NNG+도/JX
보강을	보강/NNG+을/JKO
다	다/MAG
마쳤고	마치/VV+었/EP+고/EC
