# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.97
metadata : {}


# id : NWRW1800000038.97.1.1
[영화 리뷰] 셜리에 관한 모든 것

[영화	[/SS+영화/NNG
리뷰]	리뷰/NNG+]/SS
셜리에	셜리/NNP+에/JKB
관한	관하/VV+ㄴ/ETM
모든	모든/MMN
것	것/NNB


# id : NWRW1800000038.97.2.1
영화야, 그림이야?

영화야,	영화/NNG+이/VCP+야/EF+,/SP
그림이야?	그림/NNG+이/VCP+야/EF+?/SF


# id : NWRW1800000038.97.3.1
속옷만 입고 침대에 다리를 세우고 표정없이 앉아 있는 여자.

속옷만	속옷/NNG+만/JX
입고	입/VV+고/EC
침대에	침대/NNG+에/JKB
다리를	다리/NNG+를/JKO
세우고	세우/VV+고/EC
표정없이	표정/NNG+없이/MAG
앉아	앉/VV+아/EC
있는	있/VX+는/ETM
여자.	여자/NNG+./SF


# id : NWRW1800000038.97.3.2
혼자 사는 걸까?

혼자	혼자/MAG
사는	살/VV+는/ETM
걸까?	거/NNB+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000038.97.3.3
직장은 있을까?

직장은	직장/NNG+은/JX
있을까?	있/VA+을까/EF+?/SF


# id : NWRW1800000038.97.3.4
기분이 나쁜가?

기분이	기분/NNG+이/JKS
나쁜가?	나쁘/VA+ㄴ가/EF+?/SF


# id : NWRW1800000038.97.4.1
현대 미국 화가 에드워드 호퍼(1882~1967)의 '아침해'를 보면 이런저런 궁금증이 들 법도 하다.

현대	현대/NNG
미국	미국/NNP
화가	화가/NNG
에드워드	에드워드/NNP
호퍼(1882~1967)의	호퍼/NNP+(/SS+1882/SN+~/SO+1967/SN+)/SS+의/JKG
'아침해'를	'/SS+아침해/NNP+'/SS+를/JKO
보면	보/VV+면/EC
이런저런	이런저런/MMD
궁금증이	궁금증/NNG+이/JKS
들	들/VV+ㄹ/ETM
법도	법/NNB+도/JX
하다.	하/VA+다/EF+./SF


# id : NWRW1800000038.97.4.2
그도 그럴 것이 호퍼의 그림 속 남녀는 어느 누구도 유쾌하지 않고, 서로에게 다정하지 않으며, 오직 무심한 표정을 짓고 있다.

그도	그/NP+도/JX
그럴	그렇/VA+ㄹ/ETM
것이	것/NNB+이/JKS
호퍼의	호퍼/NNP+의/JKG
그림	그림/NNG
속	속/NNG
남녀는	남녀/NNG+는/JX
어느	어느/MMD
누구도	누구/NP+도/JX
유쾌하지	유쾌/NNG+하/XSA+지/EC
않고,	않/VX+고/EC+,/SP
서로에게	서로/NNG+에게/JKB
다정하지	다정/NNG+하/XSA+지/EC
않으며,	않/VX+으며/EC+,/SP
오직	오직/MAG
무심한	무심/NNG+하/XSA+ㄴ/ETM
표정을	표정/NNG+을/JKO
짓고	짓/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.97.5.1
구스타브 도이치 감독의 '셜리에 관한 모든 것'은 호퍼의 그림에 대해 가졌을 법한 궁금증에 영화적 상상력을 불어넣었다.

구스타브	구스타브/NNP
도이치	도이치/NNP
감독의	감독/NNG+의/JKG
'셜리에	'/SS+셜리/NNP+에/JKB
관한	관하/VV+ㄴ/ETM
모든	모든/MMN
것'은	것/NNB+'/SS+은/JX
호퍼의	호퍼/NNP+의/JKG
그림에	그림/NNG+에/JKB
대해	대하/VV+아/EC
가졌을	가지/VV+었/EP+을/ETM
법한	법/NNB+하/XSA+ㄴ/ETM
