# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.166
metadata : {}


# id : NWRW1800000024.166.1.1
“KTX역 주변, 고밀도 상업단지 개발을”

“KTX역	“/SS+KTX/SL+역/NNG
주변,	주변/NNG+,/SP
고밀도	고/XPN+밀도/NNG
상업단지	상업/NNG+단지/NNG
개발을”	개발/NNG+을/JKO+”/SS


# id : NWRW1800000024.166.2.1
전국의 고속철도(KTX) 역 주변을 도시 경제를 활성화하는 중심으로 활용해야 한다는 제안이 나왔다.

전국의	전국/NNG+의/JKG
고속철도(KTX)	고속/NNG+철도/NNG+(/SS+KTX/SL+)/SS
역	역/NNG
주변을	주변/NNG+을/JKO
도시	도시/NNG
경제를	경제/NNG+를/JKO
활성화하는	활성/NNG+화/XSN+하/XSV+는/ETM
중심으로	중심/NNG+으로/JKB
활용해야	활용/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
제안이	제안/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.166.3.1
오재학 한국교통연구원 종합물류연구본부장은 최근 서울 대한상공회의소에서 열린 ‘케이티엑스 역세권 특성화 개발에 관한 정책토론회’에서 “고속철도 역 반경 500m 안(도보 5분 안)의 1차 역세권을 고밀도 상업단지로 개발해, 도시 경제 활성화의 중추로 활용할 필요가 있다”고 말했다.

오재학	오재학/NNP
한국교통연구원	한국교통연구원/NNP
종합물류연구본부장은	종합/NNG+물류/NNG+연구/NNG+본부장/NNG+은/JX
최근	최근/MAG
서울	서울/NNP
대한상공회의소에서	대한상공회의소/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘케이티엑스	‘/SS+케이티엑스/NNP
역세권	역세권/NNG
특성화	특성/NNG+화/XSN
개발에	개발/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
정책토론회’에서	정책/NNG+토론회/NNG+’/SS+에서/JKB
“고속철도	“/SS+고속/NNG+철도/NNG
역	역/NNG
반경	반경/NNG
500m	500/SN+m/SW
안(도보	안/NNG+(/SS+도보/NNG
5분	5/SN+분/NNB
안)의	안/NNG+)/SS+의/JKG
1차	1/SN+차/NNB
역세권을	역세권/NNG+을/JKO
고밀도	고/XPN+밀도/NNG
상업단지로	상업/NNG+단지/NNG+로/JKB
개발해,	개발/NNG+하/XSV+아/EC+,/SP
도시	도시/NNG
경제	경제/NNG
활성화의	활성/NNG+화/XSN+의/JKG
중추로	중추/NNG+로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.166.4.1
오 본부장은 또 “고속철도 역 주변에 교통을 줄여 쾌적한 환경을 마련하기 위해 케이티엑스 역에 환승센터를 설치해 버스나 전철 등 공공교통 수단으로 갈아탈 수 있게 해야 한다”며 “쾌적성을 떨어뜨리는 승용차 이용을 줄이기 위해 주차장 시설을 최소화하는 법·제도도 요구된다”고 말했다.

오	오/NNP
본부장은	본부장/NNG+은/JX
또	또/MAG
“고속철도	“/SS+고속/NNG+철도/NNG
역	역/NNG
주변에	주변/NNG+에/JKB
교통을	교통/NNG+을/JKO
줄여	줄이/VV+어/EC
쾌적한	쾌적하/VA+ㄴ/ETM
환경을	환경/NNG+을/JKO
마련하기	마련/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
케이티엑스	케이티엑스/NNP
역에	역/NNG+에/JKB
환승센터를	환승/NNG+센터/NNG+를/JKO
설치해	설치/NNG+하/XSV+아/EC
버스나	버스/NNG+나/JC
전철	전철/NNG
등	등/NNB
공공교통	공공/NNG+교통/NNG
수단으로	수단/NNG+으로/JKB
갈아탈	갈아타/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
해야	하/VX+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“쾌적성을	“/SS+쾌적/NNG+성/XSN+을/JKO
떨어뜨리는	떨어뜨리/VV+는/ETM
승용차	승용차/NNG
이용을	이용/NNG+을/JKO
줄이기	줄이/VV+기/ETN
주차장	주차장/NNG
시설을	시설/NNG+을/JKO
최소화하는	최소/NNG+화/XSN+하/XSV+는/ETM
법·제도도	법/NNG+·/SP+제도/NNG+도/JX
요구된다”고	요구/NNG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.166.5.1
임삼진 청와대 전 시민사회비서관은 “현재 지방의 역 주변은 조악한 상권이 형성돼 있거나 서울을 모방하고 있는데, 지역이 가진 특성·매력을 극대화하는 방향으로 개발돼야 한다”고 말했다.

임삼진	임삼진/NNP
청와대	청와대/NNP
전	전/MMD
시민사회비서관은	시민/NNG+사회/NNG+비서관/NNG+은/JX
“현재	“/SS+현재/MAG
지방의	지방/NNG+의/JKG
역	역/NNG
주변은	주변/NNG+은/JX
조악한	조악하/VA+ㄴ/ETM
상권이	상권/NNG+이/JKS
형성돼	형성/NNG+되/XSV+어/EC
있거나	있/VX+거나/EC
서울을	서울/NNP+을/JKO
모방하고	모방/NNG+하/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
지역이	지역/NNG+이/JKS
가진	가지/VV+ㄴ/ETM
특성·매력을	특성/NNG+·/SP+매력/NNG+을/JKO
극대화하는	극대/NNG+화/XSN+하/XSV+는/ETM
방향으로	방향/NNG+으로/JKB
개발돼야	개발/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.166.5.2
구자훈 한양대학교 도시대학원 교수는 “고속철도 역 상업단지 조성을 위해 역과 주변 지역의 용도·밀도·기반시설을 통합적으로 개발할 수 있는 ‘입체복합 용도지역’을 신설해야 한다”고 말했다.

구자훈	구자훈/NNP
한양대학교	한양대학교/NNP
도시대학원	도시/NNG+대학원/NNG
교수는	교수/NNG+는/JX
“고속철도	“/SS+고속/NNG+철도/NNG
역	역/NNG
상업단지	상업/NNG+단지/NNG
조성을	조성/NNG+을/JKO
위해	위하/VV+아/EC
역과	역/NNG+과/JC
주변	주변/NNG
지역의	지역/NNG+의/JKG
용도·밀도·기반시설을	용도/NNG+·/SP+밀도/NNG+·/SP+기반/NNG+시설/NNG+을/JKO
통합적으로	통합/NNG+적/XSN+으로/JKB
개발할	개발/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
‘입체복합	‘/SS+입체/NNG+복합/NNG
용도지역’을	용도/NNG+지역/NNG+’/SS+을/JKO
신설해야	신설/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.166.5.3
