# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.137
metadata : {}


# id : NWRW1800000046.137.1.1
과거史 조사관이 사건 알선, 民辯 변호사에게 1억 받아

과거史	과거/NNG+史/SH
조사관이	조사관/NNG+이/JKS
사건	사건/NNG
알선,	알선/NNG+,/SP
民辯	民辯/SH
변호사에게	변호사/NNG+에게/JKB
1억	1/SN+억/NR
받아	받/VV+아/EF


# id : NWRW1800000046.137.2.1
檢, 前조사관 2명 영장 청구… 1명은 現 서울시인권보호관

檢,	檢/SH+,/SP
前조사관	前/SH+조사관/NNG
2명	2/SN+명/NNB
영장	영장/NNG
청구…	청구/NNG+…/SE
1명은	1/SN+명/NNB+은/JX
現	現/SH
서울시인권보호관	서울시/NNP+인권/NNG+보호관/NNG


# id : NWRW1800000046.137.3.1
'과거사 사건 부당 수임 의혹'을 수사 중인 서울중앙지검 특수4부(부장 배종혁)는 2일 과거사위원회에서 조사관으로 활동하면서 관여했던 사건을 변호사에게 소개해주고 금품을 받은 혐의(변호사법 위반 등)로 노모(41)씨, 정모(51)씨 2명에 대해 구속영장을 청구했다.

'과거사	'/SS+과거사/NNG
사건	사건/NNG
부당	부당/NNG
수임	수임/NNG
의혹'을	의혹/NNG+'/SS+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
서울중앙지검	서울중앙지검/NNP
특수4부(부장	특수4부/NNG+(/SS+부장/NNG
배종혁)는	배종혁/NNP+)/SS+는/JX
2일	2/SN+일/NNB
과거사위원회에서	과거사/NNG+위원회/NNG+에서/JKB
조사관으로	조사관/NNG+으로/JKB
활동하면서	활동/NNG+하/XSV+면서/EC
관여했던	관여/NNG+하/XSV+았/EP+던/ETM
사건을	사건/NNG+을/JKO
변호사에게	변호사/NNG+에게/JKB
소개해주고	소개/NNG+하/XSV+아/EC+주/VX+고/EC
금품을	금품/NNG+을/JKO
받은	받/VV+은/ETM
혐의(변호사법	혐의/NNG+(/SS+변호사법/NNG
위반	위반/NNG
등)로	등/NNB+)/SS+로/JKB
노모(41)씨,	노/NNP+모/NP+(/SS+41/SN+)/SS+씨/NNB+,/SP
정모(51)씨	정/NNP+모/NP+(/SS+51/SN+)/SS+씨/NNB
2명에	2/SN+명/NNB+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.137.4.1
검찰에 따르면 노씨와 정씨는 과거사위의 '납북 귀환 어부 간첩 조작 의혹 사건'을 조사했던 조사관으로서 피해자 유족들에게 민주사회를 위한 변호사 모임(민변) 소속 김준곤(60) 변호사를 소개해 주고 각각 1억원대의 알선료를 받은 혐의를 받고 있다.

검찰에	검찰/NNG+에/JKB
따르면	따르/VV+면/EC
노씨와	노/NNP+씨/NNB+와/JC
정씨는	정/NNP+씨/NNB+는/JX
과거사위의	과거사위/NNG+의/JKG
'납북	'/SS+납북/NNG
귀환	귀환/NNG
어부	어부/NNG
간첩	간첩/NNG
조작	조작/NNG
의혹	의혹/NNG
사건'을	사건/NNG+'/SS+을/JKO
조사했던	조사/NNG+하/XSV+았/EP+던/ETM
조사관으로서	조사관/NNG+으로서/JKB
피해자	피해자/NNG
유족들에게	유족/NNG+들/XSN+에게/JKB
민주사회를	민주/NNG+사회/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
변호사	변호사/NNG
모임(민변)	모임/NNG+(/SS+민변/NNP+)/SS
소속	소속/NNG
김준곤(60)	김준곤/NNP+(/SS+60/SN+)/SS
변호사를	변호사/NNG+를/JKO
소개해	소개/NNG+하/XSV+아/EC
주고	주/VX+고/EC
각각	각각/MAG
1억원대의	1/SN+억/NR+원/NNB+대/XSN+의/JKG
알선료를	알선료/NNG+를/JKO
받은	받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.137.4.2
검찰은 이들이 김 변호사가 운영하는 로펌에 이름을 올려놓고 사실상 '브로커'로 활동하면서 과거사위 관련 사건 소송 참가자를 모집한 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
이들이	이/NP+들/XSN+이/JKS
김	김/NNP
변호사가	변호사/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
로펌에	로펌/NNG+에/JKB
이름을	이름/NNG+을/JKO
올려놓고	올려놓/VV+고/EC
사실상	사실상/MAG
'브로커'로	'/SS+브로커/NNG+'/SS+로/JKB
활동하면서	활동/NNG+하/XSV+면서/EC
과거사위	과거사위/NNG
관련	관련/NNG
사건	사건/NNG
소송	소송/NNG
참가자를	참가자/NNG+를/JKO
모집한	모집/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.137.4.3
검찰은 이들이 과거사위 조사관으로 근무하면서 얻은 정보를 소송 참가자 모집에 활용했다고 보고 진실·화해를 위한 과거사정리 기본법상 비밀준수 위반 혐의도 적용했다.

검찰은	검찰/NNG+은/JX
이들이	이/NP+들/XSN+이/JKS
과거사위	과거사위/NNG
조사관으로	조사관/NNG+으로/JKB
근무하면서	근무/NNG+하/XSV+면서/EC
얻은	얻/VV+은/ETM
정보를	정보/NNG+를/JKO
소송	소송/NNG
참가자	참가자/NNG
모집에	모집/NNG+에/JKB
활용했다고	활용/NNG+하/XSV+았/EP+다고/EC
보고	보/VV+고/EC
진실·화해를	진실/NNG+·/SP+화해/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
과거사정리	과거사/NNG+정리/NNG
기본법상	기본법/NNG+상/XSN
비밀준수	비밀/NNG+준수/NNG
위반	위반/NNG
혐의도	혐의/NNG+도/JX
적용했다.	적용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.137.5.1
검찰은 납북 귀환 어부 간첩 사건의 피해자 측으로부터 "노씨와 정씨가 조사관 시절 담당했던 사건의 소송 원고인단을 모집하고 다녔다"는 취지의 진술을 받은 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
납북	납북/NNG
귀환	귀환/NNG
어부	어부/NNG
간첩	간첩/NNG
사건의	사건/NNG+의/JKG
피해자	피해자/NNG
측으로부터	측/NNB+으로부터/JKB
"노씨와	"/SS+노/NNP+씨/NNB+와/JC
정씨가	정/NNP+씨/NNB+가/JKS
조사관	조사관/NNG
시절	시절/NNG
담당했던	담당/NNG+하/XSV+았/EP+던/ETM
소송	소송/NNG
원고인단을	원고인단/NNG+을/JKO
모집하고	모집/NNG+하/XSV+고/EC
다녔다"는	다니/VV+었/EP+다/EF+"/SS+는/ETM
취지의	취지/NNG+의/JKG
진술을	진술/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.137.5.2
검찰은 이 진술을 토대로 지난 26일 두 전직 조사관의 사무실 등을 압수수색하고 이튿날 소환 조사했다.

검찰은	검찰/NNG+은/JX
이	이/MMD
진술을	진술/NNG+을/JKO
토대로	토대/NNG+로/JKB
지난	지나/VV+ㄴ/ETM
26일	26/SN+일/NNB
두	두/MMN
전직	전직/NNG
조사관의	조사관/NNG+의/JKG
사무실	사무실/NNG
등을	등/NNB+을/JKO
압수수색하고	압수/NNG+수색/NNG+하/XSV+고/EC
이튿날	이튿날/NNG
소환	소환/NNG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.137.5.3
노씨는 현재 서울시 시민인권보호관으로 재직 중이고, 정씨는 현재도 김 변호사의 사무실 직원으로 등재돼 있다.

노씨는	노/NNP+씨/NNB+는/JX
현재	현재/MAG
서울시	서울시/NNP
시민인권보호관으로	시민/NNG+인권/NNG+보호관/NNG+으로/JKB
재직	재직/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
정씨는	정/NNP+씨/NNB+는/JX
현재도	현재/NNG+도/JX
김	김/NNP
변호사의	변호사/NNG+의/JKG
사무실	사무실/NNG
직원으로	직원/NNG+으로/JKB
등재돼	등재/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.137.6.1
두 전직 조사관이 사건을 연결해 준 김 변호사도 현재 검찰의 수사 선상에 올라 있다.

두	두/MMN
전직	전직/NNG
조사관이	조사관/NNG+이/JKS
사건을	사건/NNG+을/JKO
연결해	연결/NNG+하/XSV+아/EC
준	주/VX+ㄴ/ETM
김	김/NNP
변호사도	변호사/NNG+도/JX
현재	현재/MAG
검찰의	검찰/NNG+의/JKG
수사	수사/NNG
선상에	선상/NNG+에/JKB
올라	오르/VV+아/EC
있다.	있/VX+다/EF+./SF


