# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.39
metadata : {}


# id : NWRW1800000056.39.1.1
유통업계, 공정위원장에 ‘갑질 개선’ ‘상생’ 열가지 약속

유통업계,	유통업/NNG+계/XSN+,/SP
공정위원장에	공정위원장/NNG+에/JKB
‘갑질	‘/SS+갑/NNG+질/XSN
개선’	개선/NNG+’/SS
‘상생’	‘/SS+상생/NNG+’/SS
열가지	열/NR+가지/NNB
약속	약속/NNG


# id : NWRW1800000056.39.2.1
[한겨레] 백화점·대형마트·홈쇼핑 등 6개 유통업계

[한겨레]	[/SS+한겨레/NNP+]/SS
백화점·대형마트·홈쇼핑	백화점/NNG+·/SP+대형/NNG+마트/NNG+·/SP+홈쇼핑/NNG
등	등/NNB
6개	6/SN+개/NNB
유통업계	유통업/NNG+계/XSN


# id : NWRW1800000056.39.3.1
김상조 위원장 만난 뒤 자율개선 10개항 발표

김상조	김상조/NNP
위원장	위원장/NNG
만난	만나/VV+ㄴ/ETM
뒤	뒤/NNG
자율개선	자율/NNG+개선/NNG
10개항	10/SN+개/NNB+항/NNG
발표	발표/NNG


# id : NWRW1800000056.39.4.1
내년 상반기부터 대형 유통업체(프랜차이즈 포함)에 물건을 공급하는 납품업체들은 최저임금, 원재료 가격 상승으로 공급 원가가 오르면 납품 가격도 따라 올릴 수 있는 근거가 명시된 계약서를 쓰게 된다.

내년	내년/NNG
상반기부터	상반기/NNG+부터/JX
대형	대형/NNG
유통업체(프랜차이즈	유통업체/NNG+(/SS+프랜차이즈/NNG
포함)에	포함/NNG+)/SS+에/JKB
물건을	물건/NNG+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
납품업체들은	납품업체/NNG+들/XSN+은/JX
최저임금,	최저/NNG+임금/NNG+,/SP
원재료	원재료/NNG
가격	가격/NNG
상승으로	상승/NNG+으로/JKB
공급	공급/NNG
원가가	원가/NNG+가/JKS
오르면	오르/VV+면/EC
납품	납품/NNG
가격도	가격/NNG+도/JX
따라	따르/VV+아/EC
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
근거가	근거/NNG+가/JKS
명시된	명시/NNG+되/XSV+ㄴ/ETM
계약서를	계약서/NNG+를/JKO
쓰게	쓰/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.39.4.2
또 납품업체의 기존 제품을 백화점이나 대형마트가 자체브랜드(PB) 상품으로 전환해 납품단가를 낮추는 행위가 즉시 중단된다.

또	또/MAG
납품업체의	납품업체/NNG+의/JKG
기존	기존/NNG
제품을	제품/NNG+을/JKO
백화점이나	백화점/NNG+이나/JC
대형마트가	대형/NNG+마트/NNG+가/JKS
자체브랜드(PB)	자체/NNG+브랜드/NNG+(/SS+PB/SL+)/SS
상품으로	상품/NNG+으로/JKB
전환해	전환/NNG+하/XSV+아/EC
납품단가를	납품/NNG+단가/NNG+를/JKO
낮추는	낮추/VV+는/ETM
행위가	행위/NNG+가/JKS
즉시	즉시/MAG
중단된다.	중단/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.39.5.1
백화점·대형마트·티브이홈쇼핑·온라인쇼핑몰·편의점·면세점 등 6개 유통업계 대표들은 29일 서울 남대문 공정거래조정원에서 김상조 공정거래위원장과 간담회를 열고, 10개 항의 거래 관행 개선과 납품업체 및 골목상권 상생협력 방안을 발표했다.

백화점·대형마트·티브이홈쇼핑·온라인쇼핑몰·편의점·면세점	백화점/NNG+·/SP+대형/NNG+마트/NNG+·/SP+티브이/NNG+홈쇼핑/NNG+·/SP+온라인/NNG+쇼핑몰/NNG+·/SP+편의점/NNG+·/SP+면세점/NNG
등	등/NNB
6개	6/SN+개/NNB
유통업계	유통업/NNG+계/XSN
대표들은	대표/NNG+들/XSN+은/JX
29일	29/SN+일/NNB
서울	서울/NNP
남대문	남대문/NNP
공정거래조정원에서	공정/NNG+거래/NNG+조정원/NNG+에서/JKB
김상조	김상조/NNP
공정거래위원장과	공정/NNG+거래/NNG+위원장/NNG+과/JKB
간담회를	간담회/NNG+를/JKO
열고,	열/VV+고/EC+,/SP
10개	10/SN+개/NNB
항의	항/NNG+의/JKG
거래	거래/NNG
관행	관행/NNG
개선과	개선/NNG+과/JC
납품업체	납품업체/NNG
및	및/MAG
골목상권	골목/NNG+상권/NNG
상생협력	상생/NNG+협력/NNG
방안을	방안/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.39.5.2
유통업계가 자율 개선 방안을 내놓는 것은 이명박 정부에 이어 두번째다.

유통업계가	유통업/NNG+계/XSN+가/JKS
자율	자율/NNG
개선	개선/NNG
방안을	방안/NNG+을/JKO
내놓는	내놓/VV+는/ETM
것은	것/NNB+은/JX
이명박	이명박/NNP
정부에	정부/NNG+에/JKB
이어	잇/VV+어/EC
두번째다.	두/MMN+번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000056.39.5.3
김상조 위원장과 간담회를 하고 국민에게 약속하는 형식을 갖춰, 유통업계의 고질적인 갑질 관행 근절로 이어질지 주목된다.

김상조	김상조/NNP
위원장과	위원장/NNG+과/JKB
간담회를	간담회/NNG+를/JKO
하고	하/VV+고/EC
국민에게	국민/NNG+에게/JKB
약속하는	약속/NNG+하/XSV+는/ETM
형식을	형식/NNG+을/JKO
갖춰,	갖추/VV+어/EC+,/SP
유통업계의	유통업/NNG+계/XSN+의/JKG
고질적인	고질/NNG+적/XSN+이/VCP+ㄴ/ETM
갑질	갑/NNG+질/XSN
관행	관행/NNG
근절로	근절/NNG+로/JKB
이어질지	이어지/VV+ㄹ지/EF
주목된다.	주목/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.39.6.1
유통업계는 거래 관행 개선을 위해 납품업체에 내년 1분기부터 입점업체 선정 기준, 계약 절차, 판매장려금(납품업체에서 받는 수수료) 제도, 상품 배치 기준 등 거래정보를 미리 제공하기로 했다.

유통업계는	유통업/NNG+계/XSN+는/JX
거래	거래/NNG
관행	관행/NNG
개선을	개선/NNG+을/JKO
위해	위하/VV+아/EC
납품업체에	납품업체/NNG+에/JKB
내년	내년/NNG
1분기부터	1/SN+분기/NNG+부터/JX
입점업체	입점/NNG+업체/NNG
선정	선정/NNG
기준,	기준/NNG+,/SP
계약	계약/NNG
절차,	절차/NNG+,/SP
판매장려금(납품업체에서	판매/NNG+장려금/NNG+(/SS+납품업체/NNG+에서/JKB
받는	받/VV+는/ETM
수수료)	수수료/NNG+)/SS
제도,	제도/NNG+,/SP
상품	상품/NNG
배치	배치/NNG
기준	기준/NNG
등	등/NNB
거래정보를	거래/NNG+정보/NNG+를/JKO
미리	미리/MAG
제공하기로	제공/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.39.6.2
이어 내년 상반기부터 거래 수량이 적힌 문서를 거래 전에 미리 교부해 납품업체의 재고 부담을 덜어주고, 벤더(중간 유통업자)를 통한 납품을 금지하기로 했다.

이어	이어/MAG
내년	내년/NNG
