# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.390
metadata : {}


# id : NWRW1800000044.390.1.1
‘MB 집사’ 아들 근무회사에 248억 자문료 줬다

‘MB	‘/SS+MB/SL
집사’	집사/NNG+’/SS
아들	아들/NNG
근무회사에	근무/NNG+회사/NNG+에/JKB
248억	248/SN+억/NR
자문료	자문료/NNG
줬다	주/VV+었/EP+다/EF


# id : NWRW1800000044.390.2.1
[한겨레] 석유공사 12조 투자해 6천여억 건진 자원개발사업

[한겨레]	[/SS+한겨레/NNP+]/SS
석유공사	석유공사/NNP
12조	12/SN+조/NR
투자해	투자/NNG+하/XSV+아/EC
6천여억	6/SN+천/NR+여/XSN+억/NR
건진	건지/VV+ㄴ/ETM
자원개발사업	자원/NNG+개발/NNG+사업/NNG


# id : NWRW1800000044.390.3.1
메릴린치 투자자문계약 4건 의혹

메릴린치	메릴린치/NNP
투자자문계약	투자/NNG+자문/NNG+계약/NNG
4건	4/SN+건/NNB
의혹	의혹/NNG


# id : NWRW1800000044.390.4.1
새정치 ‘권력형 게이트’ 국조 촉구

새정치	새정치/NNP
‘권력형	‘/SS+권력/NNG+형/XSN
게이트’	게이트/NNG+’/SS
국조	국조/NNG
촉구	촉구/NNG


# id : NWRW1800000044.390.5.1
한국석유공사가 18조원의 해외자원개발 투자 가운데 12조원의 투자사업을 이명박 정부 핵심 실세의 아들이 근무하던 외국계 회사에서 자문을 받아 240억원대의 자문료를 지급한 것으로 드러났다.

한국석유공사가	한국석유공사/NNP+가/JKS
18조원의	18/SN+조/NR+원/NNB+의/JKG
해외자원개발	해외/NNG+자원/NNG+개발/NNG
투자	투자/NNG
가운데	가운데/NNG
12조원의	12/SN+조/NR+원/NNB+의/JKG
투자사업을	투자/NNG+사업/NNG+을/JKO
이명박	이명박/NNP
정부	정부/NNG
핵심	핵심/NNG
실세의	실세/NNG+의/JKG
아들이	아들/NNG+이/JKS
근무하던	근무/NNG+하/XSV+던/ETM
외국계	외국/NNG+계/XSN
회사에서	회사/NNG+에서/JKB
자문을	자문/NNG+을/JKO
받아	받/VV+아/EC
240억원대의	240/SN+억/NR+원/NNB+대/XSN+의/JKG
자문료를	자문료/NNG+를/JKO
지급한	지급/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.390.5.2
새정치민주연합은 이명박 정부의 해외자원개발을 ‘권력형 게이트’로 규정하고 진상규명을 위해 국정조사가 필요하다고 거듭 촉구했다.

새정치민주연합은	새정치민주연합/NNP+은/JX
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
해외자원개발을	해외/NNG+자원/NNG+개발/NNG+을/JKO
‘권력형	‘/SS+권력/NNG+형/XSN
게이트’로	게이트/NNG+’/SS+로/JKB
규정하고	규정/NNG+하/XSV+고/EC
진상규명을	진상/NNG+규명/NNG+을/JKO
위해	위하/VV+아/EC
국정조사가	국정/NNG+조사/NNG+가/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
거듭	거듭/MAG
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.390.6.1
‘새정치민주연합 엠비(MB)정부 해외자원개발 국부유출 진상조사위원회’(진상조사위)는 10일 기자회견을 열어 “석유공사가 18조원에 이르는 해외자원개발 투자 중 12조4412억원을 미국계 투자은행인 ‘메릴린치’로부터 투자자문을 받아 투자했으며, 이 중 현재까지 회수한 금액은 6730억원으로 회수율이 5.4%에 불과하다.

‘새정치민주연합	‘/SS+새정치민주연합/NNP
엠비(MB)정부	엠비/NNP+(/SS+MB/SL+)/SS+정부/NNG
해외자원개발	해외/NNG+자원/NNG+개발/NNG
국부유출	국부/NNG+유출/NNG
진상조사위원회’(진상조사위)는	진상/NNG+조사/NNG+위원회/NNG+’/SS+(/SS+진상/NNG+조사위/NNG+)/SS+는/JX
10일	10/SN+일/NNB
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
“석유공사가	“/SS+석유공사/NNP+가/JKS
18조원에	18/SN+조/NR+원/NNB+에/JKB
이르는	이르/VV+는/ETM
투자	투자/NNG
중	중/NNB
12조4412억원을	12/SN+조/NR+4412/SN+억/NR+원/NNB+을/JKO
미국계	미국/NNP+계/XSN
투자은행인	투자/NNG+은행/NNG+이/VCP+ㄴ/ETM
‘메릴린치’로부터	‘/SS+메릴린치/NNP+’/SS+로부터/JKB
투자자문을	투자/NNG+자문/NNG+을/JKO
받아	받/VV+아/EC
투자했으며,	투자/NNG+하/XSV+았/EP+으며/EC+,/SP
이	이/MMD
현재까지	현재/NNG+까지/JX
회수한	회수/NNG+하/XSV+ㄴ/ETM
금액은	금액/NNG+은/JX
6730억원으로	6730/SN+억/NR+원/NNB+으로/JKB
회수율이	회수/NNG+율/XSN+이/JKS
5.4%에	5/SN+./SP+4/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000044.390.6.2
회수금도 재투자해 실제 회수금은 거의 없다”고 밝혔다.

회수금도	회수금/NNG+도/JX
재투자해	재/XPN+투자/NNG+하/XSV+아/EC
실제	실제/NNG
회수금은	회수금/NNG+은/JX
거의	거의/MAG
