# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.143
metadata : {}


# id : NWRW1800000036.143.1.1
“스타는 원치 않아…연기 잘하고 싶을뿐”

“스타는	“/SS+스타/NNG+는/JX
원치	원/NNG+하/XSV+지/EC
않아…연기	않/VX+아/EF+…/SE+연기/NNG
잘하고	잘/MAG+하/XSV+고/EC
싶을뿐”	싶/VX+을/ETM+뿐/NNB+”/SS


# id : NWRW1800000036.143.2.1
[한겨레] 도쿄영화제 남우주연상 서영주

[한겨레]	[/SS+한겨레/NNP+]/SS
도쿄영화제	도쿄영화제/NNP
남우주연상	남우/NNG+주연상/NNG
서영주	서영주/NNP


# id : NWRW1800000036.143.3.1
세상서 밀쳐진 외로움·불안 열연

세상서	세상/NNG+서/JKB
밀쳐진	밀치/VV+어/EC+지/VX+ㄴ/ETM
외로움·불안	외로움/NNG+·/SP+불안/NNG
열연	열연/NNG


# id : NWRW1800000036.143.4.1
‘범죄소년’으로 한국 최연소 수상

‘범죄소년’으로	‘/SS+범죄소년/NNP+’/SS+으로/JKB
한국	한국/NNP
최연소	최/XPN+연소/NNG
수상	수상/NNG


# id : NWRW1800000036.143.5.1
지난달 일본 도쿄국제영화제 시상식에서 남우주연상 수상자로 자신의 이름이 불렸을 때, “‘이게 꿈인가, 이게 뭐지?’란 생각이 들었다”는 건 당연한 반응이다.

지난달	지난달/NNG
일본	일본/NNP
도쿄국제영화제	도쿄/NNP+국제/NNG+영화제/NNG
시상식에서	시상식/NNG+에서/JKB
남우주연상	남우/NNG+주연상/NNG
수상자로	수상자/NNG+로/JKB
자신의	자신/NNG+의/JKG
이름이	이름/NNG+이/JKS
불렸을	불리/VV+었/EP+을/ETM
때,	때/NNG+,/SP
“‘이게	“/SS+‘/SS+이거/NP+이/JKS
꿈인가,	꿈/NNG+이/VCP+ㄴ가/EF+,/SP
이게	이거/NP+이/JKS
뭐지?’란	뭐/NP+이/VCP+지/EF+?/SF+’/SS+이/VCP+란/ETM
생각이	생각/NNG+이/JKS
들었다”는	들/VV+었/EP+다/EF+”/SS+는/ETM
건	거/NNB+ㄴ/JX
