# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.423
metadata : {}


# id : NWRW1800000048.423.1.1
새정치 “법원마저 정치화 우려”

새정치	새정치/NNP
“법원마저	“/SS+법원/NNG+마저/JX
정치화	정치/NNG+화/XSN
우려”	우려/NNG+”/SS


# id : NWRW1800000048.423.2.1
새누리 “공안 탄압 운운 변명에 불과”

새누리	새누리/NNP
“공안	“/SS+공안/NNG
탄압	탄압/NNG
운운	운운/NNG
변명에	변명/NNG+에/JKB
불과”	불과/MAG+”/SS


# id : NWRW1800000048.423.3.1
한명숙 전 국무총리 대법원 확정 판결에 대해 야당은 ‘공안탄압’이라고 규정하고 강하게 반발했다.

한명숙	한명숙/NNP
전	전/MMD
국무총리	국무총리/NNG
대법원	대/XPN+법원/NNG
확정	확정/NNG
판결에	판결/NNG+에/JKB
대해	대하/VV+아/EC
야당은	야당/NNG+은/JX
‘공안탄압’이라고	‘/SS+공안/NNG+탄압/NNG+’/SS+이라고/JKQ
규정하고	규정/NNG+하/XSV+고/EC
강하게	강하/VA+게/EC
반발했다.	반발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.3.2
새정치민주연합은 기존의 ‘야당탄압저지 대책위원회’를 ‘신공안야당탄압저지 대책위원회’로 전환해 20일 오후 첫 회의를 열었다.

새정치민주연합은	새정치민주연합/NNP+은/JX
기존의	기존/NNG+의/JKG
‘야당탄압저지	‘/SS+야당/NNG+탄압/NNG+저지/NNG
대책위원회’를	대책/NNG+위원회/NNG+’/SS+를/JKO
‘신공안야당탄압저지	‘/SS+신/XPN+공안/NNG+야당/NNG+탄압/NNG+저지/NNG
대책위원회’로	대책/NNG+위원회/NNG+’/SS+로/JKB
전환해	전환/NNG+하/XSV+아/EC
20일	20/SN+일/NNB
오후	오후/NNG
첫	첫/MMN
회의를	회의/NNG+를/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.423.3.3
또 21일 오전 긴급 의원총회를 열기로 했다.

또	또/MAG
21일	21/SN+일/NNB
오전	오전/NNG
긴급	긴급/NNG
의원총회를	의원/NNG+총회/NNG+를/JKO
열기로	열/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.3.4
야당의 반발은 야당 의원들에 대한 법원 선고와 검찰 수사를 박근혜 정부의 공안기획으로 보기 때문이다.

야당의	야당/NNG+의/JKG
반발은	반발/NNG+은/JX
야당	야당/NNG
의원들에	의원/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
법원	법원/NNG
선고와	선고/NNG+와/JC
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
박근혜	박근혜/NNP
정부의	정부/NNG+의/JKG
공안기획으로	공안/NNG+기획/NNG+으로/JKB
보기	보/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.423.4.1
한명숙 전 국무총리는 “법리에 따른 판결이 아닌 정치권력이 개입된 불공정한 판결”이라며 “역사는 2015년 8월20일을 결백한 사람에게 유죄를 선고한 날로 기록할 것”이라고 말했다.

한명숙	한명숙/NNP
전	전/MMD
국무총리는	국무총리/NNG+는/JX
“법리에	“/SS+법리/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
판결이	판결/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
정치권력이	정치권력/NNG+이/JKS
개입된	개입/NNG+되/XSV+ㄴ/ETM
불공정한	불/XPN+공정/NNG+하/XSA+ㄴ/ETM
판결”이라며	판결/NNG+”/SS+이/VCP+라며/EC
“역사는	“/SS+역사/NNG+는/JX
2015년	2015/SN+년/NNB
8월20일을	8/SN+월/NNB+20/SN+일/NNB+을/JKO
결백한	결백/NNG+하/XSA+ㄴ/ETM
사람에게	사람/NNG+에게/JKB
유죄를	유죄/NNG+를/JKO
선고한	선고/NNG+하/XSV+ㄴ/ETM
날로	날/NNG+로/JKB
기록할	기록/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.4.2
또 “역사와 양심의 법정에서 저는 무죄”라며 “비록 제 인신을 구속한다 해도 저의 양심과 진실마저 투옥할 수는 없다”고 말했다.

또	또/MAG
“역사와	“/SS+역사/NNG+와/JC
양심의	양심/NNG+의/JKG
법정에서	법정/NNG+에서/JKB
저는	저/NP+는/JX
무죄”라며	무죄/NNG+”/SS+이/VCP+라며/EC
“비록	“/SS+비록/MAG
제	저/NP+의/JKG
인신을	인신/NNG+을/JKO
구속한다	구속/NNG+하/XSV+ㄴ다/EF
해도	하/VV+아도/EC
저의	저/NP+의/JKG
양심과	양심/NNG+과/JC
진실마저	진실/NNG+마저/JX
투옥할	투옥/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.5.1
문재인 새정치민주연합 대표는 “진실과 정의와 인권을 지키는 마지막 보루가 사법부일 것이라는 국민의 기대가 오늘 참담하게 무너졌다”며 “안타까움과 실망을 넘어 원통하고 참담하다”고 말했다.

문재인	문재인/NNP
새정치민주연합	새정치민주연합/NNP
대표는	대표/NNG+는/JX
“진실과	“/SS+진실/NNG+과/JC
정의와	정의/NNG+와/JC
인권을	인권/NNG+을/JKO
지키는	지키/VV+는/ETM
마지막	마지막/NNG
보루가	보루/NNG+가/JKS
사법부일	사법부/NNG+이/VCP+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
국민의	국민/NNG+의/JKG
기대가	기대/NNG+가/JKS
오늘	오늘/NNG
참담하게	참담/NNG+하/XSA+게/EC
무너졌다”며	무너지/VV+었/EP+다/EF+”/SS+며/EC
“안타까움과	“/SS+안타깝/VA+ㅁ/ETN+과/JC
실망을	실망/NNG+을/JKO
넘어	넘/VV+어/EC
원통하고	원통/NNG+하/XSA+고/EC
참담하다”고	참담/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.6.1
문 대표는 “사법부의 민주화와 정치적 독립을 지키기 위해 모든 노력을 기울여 나가겠다”며 “특히 대법관 임명 절차의 민주성과 대법관 구성의 다양성을 확보하기 위한 법과 제도 개선에 총력을 기울이겠다”고 밝혔다.

문	문/NNP
대표는	대표/NNG+는/JX
“사법부의	“/SS+사법부/NNG+의/JKG
민주화와	민주/NNG+화/XSN+와/JC
정치적	정치/NNG+적/XSN
독립을	독립/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
모든	모든/MMN
노력을	노력/NNG+을/JKO
기울여	기울이/VV+어/EC
나가겠다”며	나가/VX+겠/EP+다/EF+”/SS+며/EC
“특히	“/SS+특히/MAG
대법관	대/XPN+법관/NNG
임명	임명/NNG
절차의	절차/NNG+의/JKG
민주성과	민주/NNG+성/XSN+과/JC
구성의	구성/NNG+의/JKG
다양성을	다양/NNG+성/XSN+을/JKO
확보하기	확보/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
법과	법/NNG+과/JC
제도	제도/NNG
개선에	개선/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울이겠다”고	기울이/VV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.423.6.2
그는 “진실을 지켜내지 못하고 한명숙 총리님을 감옥으로 보내야 하는 우리의 무력함이 참담하다.

그는	그/NP+는/JX
“진실을	“/SS+진실/NNG+을/JKO
지켜내지	지키/VV+어/EC+내/VX+지/EC
못하고	못하/VX+고/EC
한명숙	한명숙/NNP
총리님을	총리/NNG+님/XSN+을/JKO
