# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.113
metadata : {}


# id : NWRW1800000025.113.1.1
中 “천안함 침몰 불행한 사건… 애도 표명”

中	中/SH
“천안함	“/SS+천안함/NNP
침몰	침몰/NNG
불행한	불행/NNG+하/XSA+ㄴ/ETM
사건…	사건/NNG+…/SE
애도	애도/NNG
표명”	표명/NNG+”/SS


# id : NWRW1800000025.113.2.1
중국 외교부 장위(姜瑜) 대변인은 20일 “천안함 침몰은 불행한 사건”이라며 “중국은 양국 간 경로를 통해 정부와 피해자 가족에게 위문과 애도의 뜻을 표명했다”고 말했다.

중국	중국/NNP
외교부	외교부/NNG
장위(姜瑜)	장위/NNP+(/SS+姜瑜/SH+)/SS
대변인은	대변인/NNG+은/JX
20일	20/SN+일/NNB
“천안함	“/SS+천안함/NNP
침몰은	침몰/NNG+은/JX
불행한	불행/NNG+하/XSA+ㄴ/ETM
사건”이라며	사건/NNG+”/SS+이/VCP+라며/EC
“중국은	“/SS+중국/NNP+은/JX
양국	양국/NNG
간	간/NNB
경로를	경로/NNG+를/JKO
통해	통하/VV+아/EC
정부와	정부/NNG+와/JC
피해자	피해자/NNG
가족에게	가족/NNG+에게/JKB
위문과	위문/NNG+과/JC
애도의	애도/NNG+의/JKG
뜻을	뜻/NNG+을/JKO
표명했다”고	표명/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.113.3.1
장 대변인은 이날 정례브리핑에서 “천안함 사건 원인을 두고 남북한 간에 마찰이 있으며 북한은 이 사건과의 관련성을 부인했는데 중국은 어떻게 보고 있느냐”는 질문에 이렇게 답했다.

장	장/NNP
대변인은	대변인/NNG+은/JX
이날	이날/NNG
정례브리핑에서	정례/NNG+브리핑/NNG+에서/JKB
“천안함	“/SS+천안함/NNP
사건	사건/NNG
원인을	원인/NNG+을/JKO
두고	두/VV+고/EC
남북한	남북한/NNP
간에	간/NNB+에/JKB
마찰이	마찰/NNG+이/JKS
있으며	있/VA+으며/EC
북한은	북한/NNP+은/JX
이	이/MMD
사건과의	사건/NNG+과/JKB+의/JKG
관련성을	관련/NNG+성/XSN+을/JKO
부인했는데	부인/NNG+하/XSV+았/EP+는데/EC
중국은	중국/NNP+은/JX
어떻게	어떻/VA+게/EC
보고	보/VV+고/EC
있느냐”는	있/VX+느냐/EF+”/SS+는/ETM
질문에	질문/NNG+에/JKB
이렇게	이렇/VA+게/EC
답했다.	답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.113.3.2
중국 외교부가 천안함 침몰 사건에 대해 공식적으로 언급한 것은 이번이 처음이다.

중국	중국/NNP
외교부가	외교부/NNG+가/JKS
천안함	천안함/NNP
침몰	침몰/NNG
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
공식적으로	공식/NNG+적/XSN+으로/JKB
언급한	언급/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.113.3.3
장 대변인은 “(사건 원인에 대해) 중국 측은 한국이 과학적이고 객관적인 조사를 진행하겠다고 밝힌 데 주목하고 있으며 중국 정부는 한국이 적절히 처리할 것으로 믿는다”고 말했다.

장	장/NNP
대변인은	대변인/NNG+은/JX
“(사건	“/SS+(/SS+사건/NNG
원인에	원인/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
중국	중국/NNP
측은	측/NNB+은/JX
한국이	한국/NNP+이/JKS
과학적이고	과학/NNG+적/XSN+이/VCP+고/EC
객관적인	객관/NNG+적/XSN+이/VCP+ㄴ/ETM
조사를	조사/NNG+를/JKO
진행하겠다고	진행/NNG+하/XSV+겠/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
데	데/NNB
주목하고	주목/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
정부는	정부/NNG+는/JX
적절히	적절히/MAG
처리할	처리/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
믿는다”고	믿/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.113.3.4
중국 관영 중앙TV(CCTV)와 신화통신 등 중국 언론은 천안함 침몰 사건 발생 이후 선체 인양까지 뉴스는 물론 심층분석 프로그램 등을 통해 자세히 소개했다.

중국	중국/NNP
관영	관영/NNG
중앙TV(CCTV)와	중앙TV/NNP+(/SS+CCTV/SL+)/SS+와/JC
신화통신	신화통신/NNP
등	등/NNB
언론은	언론/NNG+은/JX
천안함	천안함/NNP
침몰	침몰/NNG
사건	사건/NNG
발생	발생/NNG
이후	이후/NNG
선체	선체/NNG
인양까지	인양/NNG+까지/JX
뉴스는	뉴스/NNG+는/JX
물론	물론/MAG
심층분석	심층/NNG+분석/NNG
프로그램	프로그램/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
자세히	자세히/MAG
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.113.3.5
다만 북한 관련 여부는 한국 언론의 보도를 전하는 것 외에 어떠한 견해나 분석을 제시하지 않고 있다.

다만	다만/MAG
북한	북한/NNP
관련	관련/NNG
여부는	여부/NNG+는/JX
한국	한국/NNP
언론의	언론/NNG+의/JKG
보도를	보도/NNG+를/JKO
전하는	전하/VV+는/ETM
것	것/NNB
외에	외/NNB+에/JKB
어떠한	어떠하/VA+ㄴ/ETM
견해나	견해/NNG+나/JC
분석을	분석/NNG+을/JKO
제시하지	제시/NNG+하/XSV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


