# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.361
metadata : {}


# id : NWRW1800000052.361.1.1
‘사드배치 국회 동의’ 압박하는 국민의당, 부담스러운 더민주

‘사드배치	‘/SS+사드/NNG+배치/NNG
국회	국회/NNG
동의’	동의/NNG+’/SS
압박하는	압박/NNG+하/XSV+는/ETM
국민의당,	국민의당/NNP+,/SP
부담스러운	부담/NNG+스럽/XSA+ㄴ/ETM
더민주	더민주/NNP


# id : NWRW1800000052.361.2.1
국민의당 “사드 배치 국회 동의 특별결의안 채택” 제안

국민의당	국민의당/NNP
“사드	“/SS+사드/NNG
배치	배치/NNG
국회	국회/NNG
동의	동의/NNG
특별결의안	특별/NNG+결의안/NNG
채택”	채택/NNG+”/SS
제안	제안/NNG


# id : NWRW1800000052.361.3.1
더민주, 첫 사드대책위 소집…여전히 신중론 유지

더민주,	더민주/NNP+,/SP
첫	첫/MMN
사드대책위	사드/NNG+대책위/NNG
소집…여전히	소집/NNG+…/SE+여전히/MAG
신중론	신중/NNG+론/XSN
유지	유지/NNG


# id : NWRW1800000052.361.4.1
15일 더불어민주당과 국민의당에선 사드 국내 배치를 놓고 ‘두 개의 다른 풍경’이 펼쳐졌다.

15일	15/SN+일/NNB
더불어민주당과	더불어민주당/NNP+과/JC
국민의당에선	국민의당/NNP+에서/JKB+ㄴ/JX
사드	사드/NNG
국내	국내/NNG
배치를	배치/NNG+를/JKO
놓고	놓/VV+고/EC
‘두	‘/SS+두/MMN
개의	개/NNB+의/JKG
다른	다른/MMD
풍경’이	풍경/NNG+’/SS+이/JKS
펼쳐졌다.	펼쳐지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.361.5.1
이날 오전 열린 국민의당 비상대책위원회에서 박지원 비대위원장을 비롯한 지도부는 ‘사드 배치 철회’ ‘국회 동의 촉구’라는 손팻말을 들었다.

이날	이날/NNG
오전	오전/NNG
열린	열리/VV+ㄴ/ETM
국민의당	국민의당/NNP
비상대책위원회에서	비상/NNG+대책/NNG+위원회/NNG+에서/JKB
박지원	박지원/NNP
비대위원장을	비대위원장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
지도부는	지도부/NNG+는/JX
‘사드	‘/SS+사드/NNG
배치	배치/NNG
철회’	철회/NNG+’/SS
‘국회	‘/SS+국회/NNG
동의	동의/NNG
촉구’라는	촉구/NNG+’/SS+이/VCP+라는/ETM
손팻말을	손/NNG+팻말/NNG+을/JKO
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.361.5.2
박 위원장은 “사드는 무기 배치 문제가 아니고 우리의 주권과 국익과 운명이 걸린 총체적 국가안전의 문제”라며 “사드 배치에 대한 국회 동의를 위한 특별결의안 채택을 제안한다.

박	박/NNP
위원장은	위원장/NNG+은/JX
“사드는	“/SS+사드/NNG+는/JX
무기	무기/NNG
배치	배치/NNG
문제가	문제/NNG+가/JKC
아니고	아니/VCN+고/EC
우리의	우리/NP+의/JKG
주권과	주권/NNG+과/JC
국익과	국익/NNG+과/JC
운명이	운명/NNG+이/JKS
걸린	걸리/VV+ㄴ/ETM
총체적	총체/NNG+적/XSN
국가안전의	국가/NNG+안전/NNG+의/JKG
문제”라며	문제/NNG+”/SS+이/VCP+라며/EC
“사드	“/SS+사드/NNG
배치에	배치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
국회	국회/NNG
동의를	동의/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
특별결의안	특별/NNG+결의안/NNG
채택을	채택/NNG+을/JKO
제안한다.	제안/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.361.5.3
이를 위해 더불어민주당이 신속히 당론을 채택할 것을 다시 한 번 요구한다”고 덧붙였다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
더불어민주당이	더불어민주당/NNP+이/JKS
신속히	신속히/MAG
당론을	당론/NNG+을/JKO
채택할	채택/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
다시	다시/MAG
한	한/MMN
번	번/NNB
요구한다”고	요구/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.361.6.1
비슷한 시각 더민주도 우상호 원내대표를 위원장으로 하는 ‘사드대책위원회’ 첫 회의를 소집했다.

비슷한	비슷하/VA+ㄴ/ETM
시각	시각/NNG
더민주도	더민주/NNP+도/JX
우상호	우상호/NNP
원내대표를	원내/NNG+대표/NNG+를/JKO
위원장으로	위원장/NNG+으로/JKB
하는	하/VV+는/ETM
‘사드대책위원회’	‘/SS+사드/NNG+대책/NNG+위원회/NNG+’/SS
첫	첫/MMN
회의를	회의/NNG+를/JKO
소집했다.	소집/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.361.6.2
이들은 손팻말 없이 ‘빈손’으로 카메라 세례를 받았다.

이들은	이/NP+들/XSN+은/JX
손팻말	손/NNG+팻말/NNG
없이	없이/MAG
‘빈손’으로	‘/SS+빈손/NNG+’/SS+으로/JKB
카메라	카메라/NNG
세례를	세례/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.361.6.3
우 원내대표는 “군사적 실효성, 주변 강대국 간의 갈등, 심각한 국론 분열, 이로 인해 파생되는 경제 피해 대책 강구 등 국가적 문제들을 종합적으로 점검하고 대책을 강구하겠다”고 말했다.

우	우/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
“군사적	“/SS+군사/NNG+적/XSN
실효성,	실효/NNG+성/XSN+,/SP
주변	주변/NNG
강대국	강대국/NNG
간의	간/NNB+의/JKG
갈등,	갈등/NNG+,/SP
심각한	심각하/VA+ㄴ/ETM
국론	국론/NNG
분열,	분열/NNG+,/SP
이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
파생되는	파생/NNG+되/XSV+는/ETM
경제	경제/NNG
피해	피해/NNG
대책	대책/NNG
강구	강구/NNG
등	등/NNB
국가적	국가/NNG+적/XSN
문제들을	문제/NNG+들/XSN+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
점검하고	점검/NNG+하/XSV+고/EC
대책을	대책/NNG+을/JKO
강구하겠다”고	강구/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.361.7.1
사드에 대해 선명한 반대 의견을 피력하고 있는 국민의당과 달리, 더민주는 당내 관련 기구까지 꾸렸음에도 여전히 신중론의 언저리에서 서성이고 있다.

사드에	사드/NNG+에/JKB
대해	대하/VV+아/EC
선명한	선명/NNG+하/XSA+ㄴ/ETM
반대	반대/NNG
의견을	의견/NNG+을/JKO
피력하고	피력/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
국민의당과	국민의당/NNP+과/JKB
달리,	달리/MAG+,/SP
더민주는	더민주/NNP+는/JX
당내	당내/NNG
관련	관련/NNG
기구까지	기구/NNG+까지/JX
꾸렸음에도	꾸리/VV+었/EP+음/ETN+에/JKB+도/JX
여전히	여전히/MAG
