# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.170
metadata : {}


# id : NWRW1800000046.170.1.1
檢, 김신종 前광물자원공사 사장 소환

檢,	檢/SH+,/SP
김신종	김신종/NNP
前광물자원공사	前/SH+광물자원공사/NNP
사장	사장/NNG
소환	소환/NNG


# id : NWRW1800000046.170.2.1
해외 자원개발 비리 관련 경남기업 금품로비 추궁… 강영원 前석유公 사장 기소

해외	해외/NNG
자원개발	자원/NNG+개발/NNG
비리	비리/NNG
관련	관련/NNG
경남기업	경남기업/NNP
금품로비	금품/NNG+로비/NNG
추궁…	추궁/NNG+…/SE
강영원	강영원/NNP
前석유公	前/SH+석유/NNG+公/SH
사장	사장/NNG
기소	기소/NNG


# id : NWRW1800000046.170.3.1
해외 자원개발 비리 사건을 수사 중인 검찰은 김신종(65) 전 광물자원공사 사장을 17일 소환, 실패 위험이 높은 사업에 국고를 투자하게 된 경위를 집중 조사했다.

해외	해외/NNG
자원개발	자원/NNG+개발/NNG
비리	비리/NNG
사건을	사건/NNG+을/JKO
수사	수사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
검찰은	검찰/NNG+은/JX
김신종(65)	김신종/NNP+(/SS+65/SN+)/SS
전	전/MMD
광물자원공사	광물자원공사/NNP
사장을	사장/NNG+을/JKO
17일	17/SN+일/NNB
소환,	소환/NNG+,/SP
실패	실패/NNG
위험이	위험/NNG+이/JKS
높은	높/VA+은/ETM
사업에	사업/NNG+에/JKB
국고를	국고/NNG+를/JKO
투자하게	투자/NNG+하/XSV+게/EC
된	되/VV+ㄴ/ETM
경위를	경위/NNG+를/JKO
집중	집중/NNG
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.170.4.1
검찰에 따르면, 김 전 사장은 2010년 경남기업이 투자금을 조달하지 못하고 마다가스카르 암바토비 니켈광산 사업에서 철수할 때 경남기업의 지분을 비싼 값에 사들여 회사에 116억원의 손해를 입힌 혐의를 받고 있다.

검찰에	검찰/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
김	김/NNP
전	전/MMD
사장은	사장/NNG+은/JX
2010년	2010/SN+년/NNB
경남기업이	경남기업/NNP+이/JKS
투자금을	투자금/NNG+을/JKO
조달하지	조달/NNG+하/XSV+지/EC
못하고	못하/VX+고/EC
마다가스카르	마다가스카르/NNP
암바토비	암바토비/NNP
니켈광산	니켈/NNG+광산/NNG
사업에서	사업/NNG+에서/JKB
철수할	철수/NNG+하/XSV+ㄹ/ETM
때	때/NNG
경남기업의	경남기업/NNP+의/JKG
지분을	지분/NNG+을/JKO
비싼	비싸/VA+ㄴ/ETM
