# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.32
metadata : {}


# id : NWRW1800000026.32.1.1
'신기록 제조기' 아바타 1000억원 매출 올리나;주말에 관객 1000만 돌파 세계기록도 '타이타닉' 깰듯

'신기록	'/SS+신/XPN+기록/NNG
제조기'	제조기/NNG+'/SS
아바타	아바타/NNP
1000억원	1000/SN+억/NR+원/NNB
매출	매출/NNG
올리나;주말에	올리/VV+나/EF+;/SW+주말/NNG+에/JKB
관객	관객/NNG
1000만	1000/SN+만/NR
돌파	돌파/NNG
세계기록도	세계/NNG+기록/NNG+도/JX
'타이타닉'	'/SS+타이타닉/NNP+'/SS
깰듯	깨/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000026.32.2.1
'아바타'가 개봉 38일 만에 결국 1000만 고지를 넘었다.

'아바타'가	'/SS+아바타/NNP+'/SS+가/JKS
개봉	개봉/NNG
38일	38/SN+일/NNB
만에	만/NNB+에/JKB
결국	결국/MAG
1000만	1000/SN+만/NR
고지를	고지/NNG+를/JKO
넘었다.	넘/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.32.2.2
이제 이 할리우드 블록버스터엔 '괴물(1300만명)'의 관객 수를 넘어서고 국내 첫 1000억원 매출을 올릴지 여부만 남았다.

이제	이제/MAG
이	이/MMD
할리우드	할리우드/NNP
블록버스터엔	블록버스터/NNG+에/JKB+ㄴ/JX
'괴물(1300만명)'의	'/SS+괴물/NNP+(/SS+1300/SN+만/NR+명/NNB+)/SS+'/SS+의/JKG
관객	관객/NNG
수를	수/NNG+를/JKO
넘어서고	넘어서/VV+고/EC
국내	국내/NNG
첫	첫/MMN
1000억원	1000/SN+억/NR+원/NNB
매출을	매출/NNG+을/JKO
올릴지	올리/VV+ㄹ지/EF
여부만	여부/NNG+만/JX
남았다.	남/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.32.2.3
또 세계적으로는 '타이타닉'의 흥행기록을 어렵지 않게 깰 것으로 예상되고 있다.

또	또/MAG
세계적으로는	세계/NNG+적/XSN+으로/JKB+는/JX
'타이타닉'의	'/SS+타이타닉/NNP+'/SS+의/JKG
흥행기록을	흥행/NNG+기록/NNG+을/JKO
어렵지	어렵/VA+지/EC
않게	않/VX+게/EC
깰	깨/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상되고	예상/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.32.3.1
아바타는 지난 23일 서울에서만 26만여명을 동원하며 총 1006만여 관객을 기록, 국내 개봉한 외화로는 처음 1000만명을 끌어모았다.

아바타는	아바타/NNP+는/JX
지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
서울에서만	서울/NNP+에서/JKB+만/JX
26만여명을	26/SN+만/NR+여/XSN+명/NNB+을/JKO
동원하며	동원/NNG+하/XSV+며/EC
총	총/MMA
1006만여	1006/SN+만/NR+여/XSN
관객을	관객/NNG+을/JKO
기록,	기록/NNG+,/SP
국내	국내/NNG
개봉한	개봉/NNG+하/XSV+ㄴ/ETM
외화로는	외화/NNG+로/JKB+는/JX
처음	처음/NNG
1000만명을	1000/SN+만/NR+명/NNB+을/JKO
끌어모았다.	끌어모으/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.32.3.2
'괴물'부터 '실미도'까지 그간 1000만명을 넘긴 영화는 5편이 있으나, 아바타의 매출액은 이미 역대 최고(872억원)를 기록했다.

'괴물'부터	'/SS+괴물/NNP+'/SS+부터/JX
'실미도'까지	'/SS+실미도/NNP+'/SS+까지/JX
그간	그/NP+간/XSN
1000만명을	1000/SN+만/NR+명/NNB+을/JKO
넘긴	넘기/VV+ㄴ/ETM
영화는	영화/NNG+는/JX
5편이	5/SN+편/NNB+이/JKS
있으나,	있/VA+으나/EC+,/SP
아바타의	아바타/NNP+의/JKG
매출액은	매출액/NNG+은/JX
이미	이미/MAG
역대	역대/NNG
최고(872억원)를	최고/NNG+(/SS+872/SN+억/NR+원/NNB+)/SS+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.32.3.3
이는 '해운대(810억원)' 매출액 기록을 훌쩍 뛰어넘는 것으로, 일반 상영관보다 비싼 3D 상영관 수입이 많기 때문이다.

이는	이/NP+는/JX
'해운대(810억원)'	'/SS+해운대/NNP+(/SS+810/SN+억/NR+원/NNB+)/SS+'/SS
매출액	매출액/NNG
기록을	기록/NNG+을/JKO
훌쩍	훌쩍/MAG
뛰어넘는	뛰어넘/VV+는/ETM
것으로,	것/NNB+으로/JKB+,/SP
일반	일반/NNG
상영관보다	상영관/NNG+보다/JKB
비싼	비싸/VA+ㄴ/ETM
3D	3/SN+D/SL
상영관	상영관/NNG
수입이	수입/NNG+이/JKS
많기	많/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.32.3.4
아바타 배급사에 따르면 총 매출의 40%가량이 3D 상영관에서 나왔다.

아바타	아바타/NNP
배급사에	배급사/NNG+에/JKB
따르면	따르/VV+면/EC
총	총/MMA
매출의	매출/NNG+의/JKG
40%가량이	40/SN+%/SW+가량/XSN+이/JKS
3D	3/SN+D/SL
상영관에서	상영관/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.32.4.1
한편 아바타는 현재 미국에서 5억2500만달러(약 6100억원)의 수입을 기록했고, 전 세계 흥행 수입은 17억2000만달러(약 1조9700억원)의 입장료 매출을 올렸다.

한편	한편/MAG
아바타는	아바타/NNP+는/JX
현재	현재/MAG
미국에서	미국/NNP+에서/JKB
5억2500만달러(약	5/SN+억/NR+2500/SN+만/NR+달러/NNB+(/SS+약/MMA
6100억원)의	6100/SN+억/NR+원/NNB+)/SS+의/JKG
수입을	수입/NNG+을/JKO
기록했고,	기록/NNG+하/XSV+았/EP+고/EC+,/SP
전	전/MMN
세계	세계/NNG
흥행	흥행/NNG
수입은	수입/NNG+은/JX
17억2000만달러(약	17/SN+억/NR+2000/SN+만/NR+달러/NNB+(/SS+약/MMA
1조9700억원)의	1/SN+조/NR+9700/SN+억/NR+원/NNB+)/SS+의/JKG
입장료	입장료/NNG
매출을	매출/NNG+을/JKO
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.32.4.2
이로써 제임스 캐머런 감독은 자신의 전작이자 사상 최고 흥행작 타이타닉의 기록(18억4000만달러) 경신을 눈앞에 두고 있다.

이로써	이/NP+로써/JKB
제임스	제임스/NNP
캐머런	캐머런/NNP
감독은	감독/NNG+은/JX
자신의	자신/NNG+의/JKG
전작이자	전작/NNG+이/VCP+자/EC
사상	사상/NNG
최고	최고/NNG
흥행작	흥행작/NNG
타이타닉의	타이타닉/NNP+의/JKG
기록(18억4000만달러)	기록/NNG+(/SS+18/SN+억/NR+4000/SN+만/NR+달러/NNB+)/SS
경신을	경신/NNG+을/JKO
눈앞에	눈앞/NNG+에/JKB
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.32.4.3
외신들은 아바타가 타이타닉을 결국 제칠 것으로 예상하고 있다.

